Year,Borough,Obesity_Rate
2003,Bronx,23.3
2003,Brooklyn,23.3
2003,Manhattan,15.3
2003,Queens,18.4
2003,Staten Island,18.9
2004,Bronx,25.9
2004,Brooklyn,23.3
2004,Manhattan,15.2
2004,Queens,20.7
2004,Staten Island,26.4
2005,Bronx,25.8
2005,Brooklyn,23.3
2005,Manhattan,13.0
2005,Queens,17.3
2005,Staten Island,21.8
2006,Bronx,25.3
2006,Brooklyn,24.1
2006,Manhattan,14.2
2006,Queens,19.8
2006,Staten Island,22.7
2007,Bronx,30.4
2007,Brooklyn,24.0
2007,Manhattan,14.6
2007,Queens,20.1
2007,Staten Island,25.1
2008,Bronx,28.9
2008,Brooklyn,24.7
2008,Manhattan,16.0
2008,Queens,20.9
2008,Staten Island,27.2
2009,Bronx,29.3
2009,Brooklyn,25.6
2009,Manhattan,16.1
2009,Queens,22.6
2009,Staten Island,23.1
2010,Bronx,30.7
2010,Brooklyn,26.5
2010,Manhattan,14.3
2010,Queens,21.3
2010,Staten Island,28.3
2011,Bronx,30.2
2011,Brooklyn,27.1
2011,Manhattan,14.0
2011,Queens,23.0
2011,Staten Island,28.4
2012,Bronx,31.8
2012,Brooklyn,26.8
2012,Manhattan,14.5
2012,Queens,22.3
2012,Staten Island,32.6
2013,Bronx,31.0
2013,Brooklyn,27.0
2013,Manhattan,16.4
2013,Queens,19.3
2013,Staten Island,30.0
2014,Bronx,30.2
2014,Brooklyn,26.3
2014,Manhattan,17.5
2014,Queens,24.1
2014,Staten Island,30.2
2015,Bronx,31.1
2015,Brooklyn,26.7
2015,Manhattan,15.5
2015,Queens,23.6
2015,Staten Island,25.1
2016,Bronx,33.5
2016,Brooklyn,25.8
2016,Manhattan,15.4
2016,Queens,21.3
2016,Staten Island,26.4
2017,Bronx,34.4
2017,Brooklyn,26.4
2017,Manhattan,17.3
2017,Queens,23.9
2017,Staten Island,26.0
2018,Bronx,31.8
2018,Brooklyn,26.9
2018,Manhattan,18.3
2018,Queens,24.5
2018,Staten Island,35.9
2019,Bronx,33.5
2019,Brooklyn,25.8
2019,Manhattan,17.4
2019,Queens,23.4
2019,Staten Island,29.3
2020,Bronx,32.9
2020,Brooklyn,25.3
2020,Manhattan,17.5
2020,Queens,25.5
2020,Staten Island,33.0
2021,Bronx,37.5
2021,Brooklyn,29.0
2021,Manhattan,20.1
2021,Queens,26.2
2021,Staten Island,30.9
2022,Bronx,37.4
2022,Brooklyn,26.3
2022,Manhattan,20.2
2022,Queens,25.2
2022,Staten Island,33.0
